TYPE,ADULT_JUVENILE,YEAR,DATETIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,GLOBALID
Distribution,Adult,2019,2019/03/05 21:47:00+00,c2284127ba0c5f59,20,7D,705,400500,130200,606,6D,B,N,M,Narcotics,Distribution Of Marijuana-misd,3500 BLOCK OF WHEELER ROAD SE,400500,130200,MARIJUANA_ARRESTS_11473,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23953,{A9F52D1B-50B7-4094-8D9B-407D29295B3A}
Distribution,Adult,2019,2019/03/06 01:13:00+00,e90be6727de4c765,23,7D,707,399500,129900,704,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,3700 BLOCK OF 1ST STREET SE,399500,129900,MARIJUANA_ARRESTS_11474,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23954,{8609E165-7675-417F-9368-9C36F25DDDA7}
Possession with intent to distribute,Adult,2019,2019/03/05 23:40:00+00,18614cbb43f634ac,25,7D,706,400200,129700,704,7D,B,U,M,Narcotics,Poss W/i To Dist A Controlled Substance,500 BLOCK OF VALLEY AVENUE SE,400200,129700,MARIJUANA_ARRESTS_11475,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23955,{DF5507FF-574B-407F-B427-AA350AD541BA}
Public consumption,Adult,2019,2019/03/06 23:12:00+00,bcf27d2f1c8bf659,26,6D,607,401900,133600,704,7D,B,N,M,Narcotics,Consumption of marijuana in public space prohibited,1600 BLOCK OF 19TH STREET SE,401900,133600,MARIJUANA_ARRESTS_11476,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23956,{907B30F0-8014-4E76-B742-1DAF57BB769F}
Distribution,Adult,2019,2019/03/07 20:18:00+00,9ebc6ffe0494ba94,24,5D,503,402500,139700,Out of State,Out of State,B,N,M,Narcotics,Distribution Of Marijuana-misd,2400 BLOCK OF FRANKLIN STREET NE,402500,139700,MARIJUANA_ARRESTS_11477,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23957,{3715263B-C676-484E-80D0-91391E0FD449}
Distribution,Adult,2019,2019/03/07 20:18:00+00,9ebc6ffe0494ba94,42,5D,503,402500,139700,Out of State,Out of State,B,U,M,Narcotics,Distribution Of Marijuana-misd,2400 BLOCK OF FRANKLIN STREET NE,402500,139700,MARIJUANA_ARRESTS_11478,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23958,{71D5D2EA-624F-44D7-8C7F-4353E60645F3}
Distribution,Adult,2019,2019/03/07 20:18:00+00,9ebc6ffe0494ba94,31,5D,503,402500,139700,502,5D,B,N,M,Narcotics,Distribution Of Marijuana-misd,2400 BLOCK OF FRANKLIN STREET NE,402500,139700,MARIJUANA_ARRESTS_11479,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23959,{8DEF3DD7-DD42-4398-B26C-E94D2EC2A16D}
Distribution,Adult,2019,2019/03/12 18:25:00+00,7b19b8f2c4285fdd,37,5D,506,401100,138300,506,5D,B,N,F,Narcotics,Distribution Of A Controlled Substance,1800 BLOCK OF CORCORAN STREET NE,401100,138300,MARIJUANA_ARRESTS_11480,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23960,{1AAB6EF4-7C45-4F8A-BA5C-2343B243D770}
Distribution,Adult,2019,2019/03/12 23:45:00+00,c704ced05187999f,28,7D,705,400500,130200,507,5D,B,N,M,Narcotics,Distribution Of Marijuana-misd,3500 BLOCK OF WHEELER ROAD SE,400500,130200,MARIJUANA_ARRESTS_11481,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23961,{9A4D3608-C7F5-41E8-BE5E-D35BBD61961B}
Distribution,Adult,2019,2019/03/12 21:31:00+00,365acfaaae0ad9eb,18,7D,705,400300,130900,Out of State,Out of State,B,N,M,Narcotics,Distribution Of Marijuana-misd,2900 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400300,130900,MARIJUANA_ARRESTS_11482,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23962,{6E3D4995-C2B4-4DCA-9CB0-59DEE2026937}
Distribution,Adult,2019,2019/03/13 21:57:00+00,56602b6633b46a11,47,6D,603,404300,136200,Unknown,Unknown,B,U,M,Narcotics,Distribution Of Marijuana-misd,3900 BLOCK OF MINNESOTA AVENUE NE,404300,136200,MARIJUANA_ARRESTS_11483,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23963,{6C536669-130D-40B2-BBD0-07DC45F078D9}
Distribution,Adult,2019,2019/03/13 21:55:00+00,56602b6633b46a11,43,6D,603,404300,136200,603,6D,B,U,M,Narcotics,Distribution Of Marijuana-misd,3800 BLOCK OF MINNESOTA AVENUE NE,404300,136100,MARIJUANA_ARRESTS_11484,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23964,{3457C68D-63A0-403B-9D78-2550F11E8564}
Distribution,Adult,2019,2019/03/13 23:19:00+00,0857448dbca7bf0d,20,6D,604,405500,135700,703,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,4500 BLOCK OF BENNING ROAD SE,405500,135700,MARIJUANA_ARRESTS_11485,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23965,{96488696-2BCB-491C-9CE2-EEFFBCF94E3A}
Distribution,Adult,2019,2019/03/15 18:35:00+00,898a4f97baefe479,18,5D,506,401300,138000,405,4D,B,N,M,Narcotics,Distribution Of Marijuana-misd,1200 BLOCK OF MOUNT OLIVET ROAD NE,401300,138000,MARIJUANA_ARRESTS_11486,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23966,{A258A7FA-3E64-499C-BF93-0A51A7BD46C7}
Distribution,Adult,2019,2019/03/18 20:20:00+00,b2c262447106cbbe,31,1D,105,398900,133800,707,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,1400 BLOCK OF CANAL STREET SW,398900,133800,MARIJUANA_ARRESTS_11487,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23967,{71D7787D-916F-4A37-9296-07D194563959}
Distribution,Adult,2019,2019/03/18 21:09:00+00,68e3719a36d01d75,20,1D,105,398800,134400,605,6D,B,N,M,Narcotics,Distribution Of Marijuana-misd,200 BLOCK OF L STREET SW,398800,134400,MARIJUANA_ARRESTS_11488,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23968,{3EFDC212-E71E-4A41-9955-3B3450EE2C95}
Distribution,Adult,2019,2019/03/18 21:10:00+00,68e3719a36d01d75,35,1D,105,398800,134400,607,6D,B,N,M,Narcotics,Distribution Of Marijuana-misd,200 BLOCK OF L STREET SW,398800,134400,MARIJUANA_ARRESTS_11489,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23969,{1A55473F-26E6-4E80-AC8D-875E562DE457}
Distribution,Adult,2019,2019/03/18 21:09:00+00,68e3719a36d01d75,28,1D,105,398800,134400,105,1D,B,U,M,Narcotics,Distribution Of Marijuana-misd,200 BLOCK OF L STREET SW,398800,134400,MARIJUANA_ARRESTS_11490,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23970,{AA104953-A7C1-4A4C-972C-0358C40D3924}
Distribution,Adult,2019,2019/03/19 19:50:00+00,14e7a83329ecd9a4,19,1D,104,401200,136900,Out of State,Out of State,U,N,F,Narcotics,Distribution Of Marijuana-misd,1300 BLOCK OF H STREET NE,401200,136900,MARIJUANA_ARRESTS_11491,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23971,{7A58CDE6-D8FA-4C99-844E-4345F15CE074}
Distribution,Adult,2019,2019/03/19 19:50:00+00,14e7a83329ecd9a4,30,1D,104,401200,136900,Out of State,Out of State,W,N,M,Narcotics,Distribution Of Marijuana-misd,1300 BLOCK OF H STREET NE,401200,136900,MARIJUANA_ARRESTS_11492,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23972,{9DEF98D9-C9F5-4E1F-81C4-B277597231E5}
Possession with intent to distribute,Adult,2019,2019/03/19 19:50:00+00,14e7a83329ecd9a4,36,1D,104,401200,136900,Out of State,Out of State,W,U,M,Narcotics,Poss W/i To Dist Marijuana-misd,1300 BLOCK OF H STREET NE,401200,136900,MARIJUANA_ARRESTS_11493,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23973,{02FA7908-6842-41E5-89F1-6222CD4C8BB4}
Possession with intent to distribute,Adult,2019,2019/03/19 19:50:00+00,14e7a83329ecd9a4,39,1D,104,401200,136900,Out of State,Out of State,W,N,M,Narcotics,Poss W/i To Dist Marijuana-misd,1300 BLOCK OF H STREET NE,401200,136900,MARIJUANA_ARRESTS_11494,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23974,{9CFF8BAF-099D-4867-9622-64C5CE719C4F}
Possession with intent to distribute,Adult,2019,2019/03/19 19:50:00+00,14e7a83329ecd9a4,39,1D,104,401200,136900,Out of State,Out of State,B,N,F,Narcotics,Poss W/i To Dist Marijuana-misd,1300 BLOCK OF H STREET NE,401200,136900,MARIJUANA_ARRESTS_11495,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23975,{D529B64E-5CF3-408E-A6DE-8AF830BEFCD6}
Possession with intent to distribute,Adult,2019,2019/03/19 19:50:00+00,14e7a83329ecd9a4,29,1D,104,401200,136900,Out of State,Out of State,A,U,M,Narcotics,Poss W/i To Dist Marijuana-misd,1300 BLOCK OF H STREET NE,401200,136900,MARIJUANA_ARRESTS_11496,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23976,{BEB3058C-B95A-4629-AC5A-E3F788D0BD33}
Distribution,Adult,2019,2019/03/22 21:13:00+00,1cdc06325e4f406e,28,6D,604,405400,135700,604,6D,B,N,F,Narcotics,Distribution Of Marijuana-misd,4500 BLOCK OF BENNING ROAD SE,405400,135700,MARIJUANA_ARRESTS_11497,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23977,{262346F2-A317-4C79-9686-0C1F5B61EAEA}
Distribution,Adult,2019,2019/03/22 21:13:00+00,1cdc06325e4f406e,18,6D,604,405400,135700,602,6D,B,N,M,Narcotics,Distribution Of Marijuana-misd,4500 BLOCK OF BENNING ROAD SE,405400,135700,MARIJUANA_ARRESTS_11498,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23978,{3004E38E-2EEE-40F0-86A4-95FFD01B9D5F}
Distribution,Adult,2019,2019/03/22 20:33:00+00,ddb6ca806c49892c,36,6D,601,405600,138200,604,6D,B,U,M,Narcotics,Distribution Of A Controlled Substance,1600 BLOCK OF KENILWORTH AVENUE NE,405600,138200,MARIJUANA_ARRESTS_11499,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23979,{98BC0AD7-2D5B-4717-8127-411B2DBF62AE}
Distribution,Adult,2019,2019/03/22 20:33:00+00,ddb6ca806c49892c,35,6D,601,405600,138200,601,6D,B,U,M,Narcotics,Distribution Of A Controlled Substance,1600 BLOCK OF KENILWORTH AVENUE NE,405600,138200,MARIJUANA_ARRESTS_11500,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23980,{6A8AD9C3-C096-44FE-AF23-D7C62B398415}
Possession with intent to distribute,Adult,2019,2019/03/25 21:57:00+00,a504dd4cbb50b6c7,35,4D,409,398000,140700,409,4D,B,N,M,Narcotics,Poss W/i To Dist Marijuana-fel,600 BLOCK OF NEWTON PLACE NW,398000,140700,MARIJUANA_ARRESTS_11501,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23981,{D922BE2D-D558-43AB-B5B0-C1C733D54B28}
Distribution,Adult,2019,2019/03/26 21:51:00+00,2e3ecb52e3f63d58,32,5D,506,401600,137400,701,7D,B,U,M,Narcotics,Distribution Of Marijuana-misd,1600 BLOCK OF LEVIS STREET NE,401600,137400,MARIJUANA_ARRESTS_11502,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23982,{1E68FAAF-2583-4D30-8211-7A31DB9241E5}
Distribution,Adult,2019,2019/03/29 20:28:00+00,41a55e43e1f82560,25,6D,601,405600,138200,705,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,1600 BLOCK OF KENILWORTH AVENUE NE,405600,138200,MARIJUANA_ARRESTS_11503,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23983,{77839053-D1CD-4DDD-B5AE-F0C3BF7337DF}
Distribution,Adult,2019,2019/04/02 19:55:00+00,4787a9a20620b5eb,35,5D,507,401700,136900,507,5D,B,N,M,Narcotics,Distribution Of A Controlled Substance,1600 BLOCK OF BENNING ROAD NE,401700,136900,MARIJUANA_ARRESTS_11504,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23984,{2D8082B8-8FB2-4B17-89F7-CDF6CC3BFAB2}
Distribution,Adult,2019,2019/04/02 19:55:00+00,4787a9a20620b5eb,34,5D,507,401700,136900,Out of State,Out of State,B,U,F,Narcotics,Distribution Of A Controlled Substance,1600 BLOCK OF BENNING ROAD NE,401700,136900,MARIJUANA_ARRESTS_11505,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23985,{FCB06649-4E85-4FD3-94E7-E572C64DAD1C}
Distribution,Adult,2019,2019/04/03 13:02:00+00,b0da2c2b1f6ce5e6,25,7D,703,400600,132800,707,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400600,132800,MARIJUANA_ARRESTS_11506,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23986,{BE3962A2-3210-434D-B66A-1D0E217AD888}
Distribution,Adult,2019,2019/04/04 19:44:00+00,c18c929add6e1b7e,38,3D,308,399200,137900,704,7D,B,U,M,Narcotics,Distribution Of Marijuana-misd,1400 BLOCK OF NORTH CAPITOL STREET NW,399200,137900,MARIJUANA_ARRESTS_11507,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23987,{C2E4459B-330C-4A8B-8482-1D6B1F52C303}
Possession with intent to distribute,Adult,2019,2019/04/05 00:20:00+00,83a734cbf3dcd20c,23,6D,604,406400,134900,604,6D,B,N,M,Narcotics,Poss W/i To Dist A Controlled Substance,5300 BLOCK OF E STREET SE,406400,134900,MARIJUANA_ARRESTS_11508,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23988,{D368F7DD-F99C-4511-A78D-2BA3D381533B}
Distribution,Adult,2019,2019/04/05 21:07:00+00,3d333b89d0022552,30,6D,608,407400,136400,Out of State,Out of State,B,N,M,Narcotics,Distribution Of Marijuana-misd,6000 BLOCK OF EADS STREET NE,407400,136400,MARIJUANA_ARRESTS_11509,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23989,{7418F250-EDF1-42A5-9AD7-88462EDDD5E3}
Distribution,Adult,2019,2019/04/05 22:27:00+00,5552837e91f14679,39,6D,604,406000,134400,604,6D,B,N,M,Narcotics,Distribution Of Marijuana-misd,5000 BLOCK OF BENNING ROAD SE,406000,134400,MARIJUANA_ARRESTS_11510,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23990,{CFFA5A3F-6535-47A1-98C0-C85422192F61}
Possession with intent to distribute,Adult,2019,2019/04/07 00:00:00+00,9907baeb2c16c1fd,25,6D,604,405500,135700,603,6D,B,N,M,Narcotics,Poss W/i To Dist A Controlled Substance,4500 BLOCK OF BENNING ROAD SE,405500,135700,MARIJUANA_ARRESTS_11511,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23991,{28C78042-EAD1-4B7D-B815-0BB34B4B33CD}
Distribution,Adult,2019,2019/04/08 20:30:00+00,5c60ff0d18f9ffa4,38,6D,602,405900,137700,Unknown,Unknown,B,U,F,Narcotics,Distribution Of Marijuana-misd,1200 BLOCK OF 49TH STREET NE,405900,137700,MARIJUANA_ARRESTS_11512,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23992,{D982D5FC-C2FE-4D9E-9B48-4EF904EB8725}
Distribution,Adult,2019,2019/04/09 20:48:00+00,bf4b6e524684ea98,28,7D,704,402300,131100,507,5D,B,U,M,Narcotics,Distribution Of Marijuana-misd,2200 BLOCK OF SAVANNAH STREET SE,402300,131100,MARIJUANA_ARRESTS_11513,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23993,{A9E51176-C84F-4B30-B5B5-B5A83E24FB2C}
Distribution,Adult,2019,2019/04/09 20:18:00+00,b2604d51d34e788b,25,7D,704,401500,131300,704,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,3200 BLOCK OF 15TH PLACE SE,401500,131300,MARIJUANA_ARRESTS_11514,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23994,{F89A7E55-A5C2-48FA-AEDE-D33D97E3E77C}
Distribution,Adult,2019,2019/04/12 20:02:00+00,6f12ef9dba24b37f,30,6D,604,406200,135100,507,5D,B,N,M,Narcotics,Distribution Of Marijuana-misd,5000 BLOCK OF D STREET SE,406200,135100,MARIJUANA_ARRESTS_11515,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23995,{72BBBFF0-4038-4A83-B982-52A8C6975ECC}
Distribution,Adult,2019,2019/04/12 20:02:00+00,6f12ef9dba24b37f,32,6D,604,406200,135100,507,5D,B,N,M,Narcotics,Distribution Of Marijuana-misd,5000 BLOCK OF D STREET SE,406200,135100,MARIJUANA_ARRESTS_11516,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23996,{8FAC7163-1716-4042-B354-FD34A93DC583}
Distribution,Adult,2019,2019/04/15 23:26:00+00,f498c554131849c6,22,5D,507,401500,136900,Out of State,Out of State,B,N,F,Narcotics,Distribution Of Marijuana-misd,1500 BLOCK OF BENNING ROAD NE,401500,136900,MARIJUANA_ARRESTS_11517,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23997,{7ED9AD77-C6A9-41F0-847D-F191A7A41C5F}
Distribution,Adult,2019,2019/04/15 23:28:00+00,f498c554131849c6,28,5D,507,401500,136900,507,5D,B,N,M,Narcotics,Distribution Of Marijuana-misd,1500 BLOCK OF BENNING ROAD NE,401500,136900,MARIJUANA_ARRESTS_11518,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23998,{C9339F0C-9897-413C-9954-BCA77D1E8FF5}
Possession with intent to distribute,Adult,2019,2019/04/16 01:38:00+00,ea95e38b79137321,28,6D,604,405600,134900,703,7D,B,N,M,Narcotics,Poss W/i To Dist Marijuana-fel,600 BLOCK OF 46TH PLACE SE,405600,134900,MARIJUANA_ARRESTS_11519,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,23999,{C9A7C6B7-7B42-4DE5-9396-E14102A8690B}
Distribution,Adult,2019,2019/04/16 18:08:00+00,8f98127ea766e0a5,26,5D,506,401300,138000,604,6D,B,N,M,Narcotics,Distribution Of Marijuana-misd,1700 BLOCK OF MONTELLO AVENUE NE,401300,138000,MARIJUANA_ARRESTS_11520,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24000,{BC03A168-DC7D-4A61-B9D9-74A60A8C1CB6}
Distribution,Adult,2019,2019/04/16 18:08:00+00,8f98127ea766e0a5,28,5D,506,401300,138000,505,5D,B,U,M,Narcotics,Distribution Of Marijuana-misd,1700 BLOCK OF MONTELLO AVENUE NE,401300,138000,MARIJUANA_ARRESTS_11521,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24001,{21EB9BD7-F8FA-40E3-ACFC-27269A962CC7}
Distribution,Adult,2019,2019/04/17 19:08:00+00,37a375e3263e44cd,23,6D,602,405700,138200,Out of State,Out of State,B,N,M,Narcotics,Distribution Of Marijuana-misd,1600 BLOCK OF KENILWORTH AVENUE NE,405700,138200,MARIJUANA_ARRESTS_11522,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24002,{43CF6204-DD71-46F6-94AA-C08FBF60E971}
Possession with intent to distribute,Adult,2019,2019/04/21 21:23:00+00,691f95cdb3e5a0d1,24,6D,607,402300,133100,405,4D,B,N,M,Narcotics,Poss W/i To Dist Marijuana-fel,2300 BLOCK OF GOOD HOPE ROAD SE,402300,133100,MARIJUANA_ARRESTS_11523,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24003,{F923ED5F-69C1-4584-867F-A1AE877A99A3}
Distribution,Adult,2019,2019/04/22 21:30:00+00,1f7c24a97a075e62,25,7D,701,401500,133000,507,5D,B,U,M,Narcotics,Distribution Of Marijuana-misd,1500 BLOCK OF U STREET SE,401500,133000,MARIJUANA_ARRESTS_11524,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24004,{4A871CF3-8BEC-4A82-9ECF-BD67D1B8C4C6}
Distribution,Adult,2019,2019/04/22 23:21:00+00,e7eb7dc7f966ce90,27,7D,708,399900,128200,704,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,4700 BLOCK OF SOUTH CAPITOL STREET SE,399900,128200,MARIJUANA_ARRESTS_11525,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24005,{EAD839E9-9CC6-45E3-B2B9-8883685A3230}
Distribution,Adult,2019,2019/04/23 21:35:00+00,11364a81901ac754,27,6D,604,405500,135700,Out of State,Out of State,B,N,M,Narcotics,Distribution Of Marijuana-misd,4500 BLOCK OF BENNING ROAD SE,405500,135700,MARIJUANA_ARRESTS_11526,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24006,{7A2147E4-771F-4410-B44D-FD022D4CE385}
Distribution,Adult,2019,2019/04/23 21:35:00+00,11364a81901ac754,34,6D,604,405500,135700,Unknown,Unknown,B,U,M,Narcotics,Distribution Of Marijuana-misd,4500 BLOCK OF BENNING ROAD SE,405500,135700,MARIJUANA_ARRESTS_11527,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24007,{B62FFE27-7A58-4145-9CD7-95EB38FE51C7}
Possession with intent to distribute,Adult,2019,2019/04/25 19:46:00+00,cf8e6cc665188bdb,27,5D,507,402100,136800,507,5D,B,N,M,Narcotics,Poss W/i To Dist Marijuana-misd,1900 BLOCK OF BENNETT PL NE,402100,136800,MARIJUANA_ARRESTS_11528,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24008,{4E9543B3-AA0B-4967-8D01-46596B38F522}
Distribution,Adult,2019,2019/04/25 20:17:00+00,ca59a8ba9c3a4d02,24,7D,704,402300,131400,704,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,2200 BLOCK OF ALABAMA AVENUE SE,402300,131400,MARIJUANA_ARRESTS_11529,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24009,{6DE5BECB-A86C-4C19-B4DC-70FE091F04D5}
Distribution,Adult,2019,2019/04/25 22:01:00+00,4d15f1f0f6e43e12,27,7D,706,400100,128800,705,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,4200 BLOCK OF 6TH STREET SE,400100,128800,MARIJUANA_ARRESTS_11530,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24010,{551E13E7-E9F5-4EDD-AE4D-4EA150A09BD2}
Distribution,Adult,2019,2019/04/25 22:03:00+00,4d15f1f0f6e43e12,24,7D,706,400100,128800,706,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,4200 BLOCK OF 6TH STREET SE,400100,128800,MARIJUANA_ARRESTS_11531,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24011,{1356063B-74C8-4B16-B0E6-916B38E52BB9}
Distribution,Adult,2019,2019/04/25 22:24:00+00,4d15f1f0f6e43e12,21,7D,706,400100,128800,701,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,4200 BLOCK OF 6TH STREET SE,400100,128800,MARIJUANA_ARRESTS_11532,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24012,{3F873663-AE74-4A28-924E-05C09055DA20}
Distribution,Adult,2019,2019/04/25 21:06:00+00,e67861c8698fde04,27,7D,705,400500,130200,706,7D,B,N,M,Narcotics,Distribution Of Marijuana-misd,3500 BLOCK OF WHEELER ROAD SE,400500,130200,MARIJUANA_ARRESTS_11533,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24013,{F53F7FA6-4056-4035-854A-4503B0F32D3B}
Distribution,Adult,2019,2019/04/29 20:57:00+00,4f665d99272d509b,22,5D,507,402000,136600,507,5D,B,N,M,Narcotics,Distribution Of Marijuana-misd,600 BLOCK OF 19TH STREET NE,402000,136600,MARIJUANA_ARRESTS_11534,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24014,{AB5EE185-4068-40B9-8EF4-FC4DD24D2D70}
Distribution,Adult,2019,2019/04/29 22:54:00+00,989325f0625a234a,25,5D,507,401800,136200,507,5D,B,N,M,Narcotics,Distribution Of Marijuana-misd,300 BLOCK OF 18TH ST NE,401800,136200,MARIJUANA_ARRESTS_11535,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24015,{46CB01DB-2A3D-44A8-AF71-D9275E1414CC}
Distribution,Adult,2019,2019/04/29 22:54:00+00,989325f0625a234a,27,5D,507,401800,136200,507,5D,B,N,M,Narcotics,Distribution Of Marijuana-misd,2500 BLOCK OF BENNING ROAD NE,402500,136600,MARIJUANA_ARRESTS_11536,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24016,{82930C83-EF01-4ED8-A265-2088C39BAB9D}
Distribution,Adult,2019,2019/04/30 20:36:00+00,57a933590c6a111c,23,6D,601,405600,138200,Out of State,Out of State,B,N,M,Narcotics,Distribution Of Marijuana-misd,1600 BLOCK OF KENILWORTH AVENUE NE,405600,138200,MARIJUANA_ARRESTS_11537,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24017,{3E4CBAC5-DC3E-40D0-AED1-EDC3BCE3B11E}
Distribution,Adult,2019,2019/05/01 00:01:00+00,d5157cf2b5605b53,23,6D,608,405400,135800,Unknown,Unknown,B,N,M,Narcotics,Distribution Of Marijuana-misd,4500 BLOCK OF BENNING ROAD NE,405400,135800,MARIJUANA_ARRESTS_11538,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,24018,{07EAE5A5-6772-4C77-84DF-F896DBC15E2F}
